order_id,date,product_id,product_name,category,brand,customer_id,customer_segment,region,city,state,quantity_sold,price,discount,stock_available,shipping_fee,payment_method,fulfillment_type,order_status,return_requested,rating,device_type,coupon_code,warehouse_zone,seller_notes,promo_flag
ORD50001,2024-01-01,1001,Wireless Mouse,Electronics,Voltix,CUST3003,New,West,Ahmedabad,Gujarat,3,1800,5,201,99,Card,Warehouse,Delivered,Yes,3.6,Tablet,Unknown,B,Discount-driven sales,No
ORD50002,2024-01-01,5004,Business Strategy,Books,BrightPages,CUST3019,New,North,Chandigarh,Delhi,9,850,0,215,103,COD,Warehouse,Delivered,Yes,4.7,Tablet,FLASH30,A,Discount-driven sales,No
ORD50003,2024-01-01,2004,Travel Hoodie,Fashion,ModaCrew,CUST3008,New,South,Hyderabad,Karnataka,2,2790,12,83,0,Card,Marketplace,Processing,No,4.8,Desktop,FLASH30,D,Premium segment,Yes
ORD50004,2024-01-02,2002,Denim Jacket,Fashion,UrbanBeat,CUST3034,VIP,North,Jaipur,Delhi,2,1770,5,155,85,Wallet,Warehouse,Delivered,No,4.6,Mobile,NEW10,C,Discount-driven sales,Yes
ORD50005,2024-01-02,5002,Startup Playbook,Books,BookNest,CUST3033,New,East,Guwahati,West Bengal,4,1870,10,204,0,Card,Direct,Delivered,No,4.3,Tablet,Unknown,C,Seasonal demand,No
ORD50006,2024-01-02,2004,Travel Hoodie,Fashion,ModaCrew,CUST3020,VIP,West,Ahmedabad,Gujarat,1,2790,15,81,0,NetBanking,Direct,Delivered,No,5.0,Tablet,FLASH30,A,Stable demand,No
ORD50007,2024-01-02,5003,Programming Basics,Books,MindPress,CUST3020,Repeat,South,Bangalore,Karnataka,11,665,8,285,103,UPI,Direct,Shipped,No,4.1,Mobile,SAVE15,C,High repeat orders,No
ORD50008,2024-01-02,5001,Data Science Notes,Books,EduTrack,CUST3014,Repeat,West,Vadodara,Gujarat,7,1315,5,275,85,COD,Warehouse,Delivered,No,4.9,Mobile,Unknown,A,High repeat orders,No
ORD50009,2024-01-03,5002,Startup Playbook,Books,BookNest,CUST3047,Repeat,North,Lucknow,Delhi,5,1870,12,186,0,Wallet,Marketplace,Delivered,No,3.8,Tablet,MEGA5,B,Stable demand,Yes
ORD50010,2024-01-03,4001,Coffee Press,Kitchen,MealMint,CUST3030,Repeat,West,Vadodara,Gujarat,3,1625,5,90,0,NetBanking,Warehouse,Delivered,No,4.8,Tablet,Unknown,B,Discount-driven sales,No
