order_id,order_date,product_id,product_name,category,brand,customer_id,customer_segment,region,city,state,quantity_sold,price,discount,stock_available,shipping_fee,payment_method,fulfillment_type,order_status,return_requested,rating,device_type,coupon_code,warehouse_zone,seller_notes,promo_flag
ORD70001,2025-01-01,1001,Wireless Mouse,Electronics,Voltix,CUST4000,New,West,Ahmedabad,Gujarat,3,1800,5,35,29,UPI,Warehouse,Delivered,Yes,3.8,Mobile,NEW10,A,Fast moving item,Yes
ORD70002,2025-01-01,1002,Bluetooth Keyboard,Electronics,SoundMax,CUST4009,Repeat,West,Surat,Gujarat,5,1985,8,61,44,Card,Marketplace,Delivered,No,4.0,Desktop,SAVE15,B,Stable demand,Yes
ORD70003,2025-01-01,1003,Gaming Headset,Electronics,VisionOne,CUST4018,VIP,West,Vadodara,Gujarat,7,2170,10,87,59,COD,Warehouse,Shipped,No,4.2,Tablet,FEST20,C,Seasonal demand,Yes
ORD70004,2025-01-01,1004,USB-C Charger,Electronics,TechAura,CUST4027,New,West,Rajkot,Gujarat,9,2355,12,113,74,NetBanking,Marketplace,Processing,No,4.5,Mobile,MEGA5,D,Premium segment,Yes
ORD70005,2025-01-01,1005,Webcam HD,Electronics,ByteCraft,CUST4036,Repeat,West,Mumbai,Maharashtra,7,2540,15,107,89,UPI,Warehouse,Delivered,No,4.7,Desktop,,A,Fast moving item,Yes
ORD70006,2025-01-01,1006,Power Bank,Electronics,Voltix,CUST4045,VIP,West,Pune,Maharashtra,4,2650,18,43,29,Card,Marketplace,Delivered,No,4.4,Tablet,NEW10,B,Stable demand,Yes
ORD70007,2025-01-01,1007,Smart Watch,Electronics,SoundMax,CUST4054,New,West,Nagpur,Maharashtra,6,2835,20,69,44,COD,Warehouse,Shipped,No,3.9,Mobile,SAVE15,C,Seasonal demand,Yes
ORD70008,2025-01-01,1008,Portable SSD,Electronics,VisionOne,CUST4063,Repeat,North,Delhi,Delhi,8,3020,5,95,59,NetBanking,Marketplace,Processing,No,4.1,Desktop,FEST20,D,Premium segment,Yes
ORD70009,2025-01-01,1009,Noise Cancelling Headphones,Electronics,TechAura,CUST4072,VIP,North,Jaipur,Rajasthan,6,3205,8,77,74,UPI,Warehouse,Delivered,No,4.3,Tablet,MEGA5,A,Fast moving item,Yes
ORD70010,2025-01-01,1010,LED Monitor,Electronics,ByteCraft,CUST4081,New,North,Lucknow,Uttar Pradesh,8,3390,10,115,89,Card,Marketplace,Delivered,No,4.6,Mobile,,B,Stable demand,Yes
ORD70011,2025-01-01,1011,Laptop Sleeve,Accessories,UrbanTrail,CUST4090,Repeat,South,Bengaluru,Karnataka,3,700,5,63,29,COD,Warehouse,Shipped,No,3.8,Desktop,NEW10,C,Seasonal demand,Yes
ORD70012,2025-01-01,1012,Phone Case,Accessories,CarryNest,CUST4099,VIP,South,Hyderabad,Telangana,5,885,8,89,44,NetBanking,Marketplace,Processing,No,4.0,Tablet,SAVE15,D,Premium segment,Yes
ORD70013,2025-01-01,1013,Desk Organizer,Accessories,LoopGear,CUST4108,New,South,Chennai,Tamil Nadu,7,1070,10,83,59,UPI,Warehouse,Delivered,No,4.2,Mobile,FEST20,A,Fast moving item,Yes
ORD70014,2025-01-01,1014,Cable Protector,Accessories,FlexCase,CUST4117,Repeat,East,Kolkata,West Bengal,9,1255,12,109,74,Card,Marketplace,Delivered,No,4.5,Desktop,MEGA5,B,Stable demand,Yes
ORD70015,2025-01-01,1015,Mouse Pad,Accessories,PackPoint,CUST4126,VIP,West,Ahmedabad,Gujarat,7,1440,15,180,89,COD,Warehouse,Shipped,No,4.7,Tablet,,C,Seasonal demand,Yes
ORD70016,2025-01-01,1016,Backpack,Accessories,UrbanTrail,CUST4135,New,West,Surat,Gujarat,4,1550,18,71,29,NetBanking,Marketplace,Processing,No,4.4,Mobile,NEW10,D,Premium segment,Yes
ORD70017,2025-01-01,1017,Laptop Stand,Accessories,CarryNest,CUST4144,Repeat,West,Vadodara,Gujarat,6,1735,20,65,44,UPI,Warehouse,Delivered,No,3.9,Desktop,SAVE15,A,Fast moving item,Yes
ORD70018,2025-01-01,1018,Screen Cleaner Kit,Accessories,LoopGear,CUST4153,VIP,West,Rajkot,Gujarat,8,1920,5,91,59,Card,Marketplace,Delivered,No,4.1,Tablet,FEST20,B,Stable demand,Yes
ORD70019,2025-01-01,1019,Travel Adapter,Accessories,FlexCase,CUST4162,New,West,Mumbai,Maharashtra,6,2105,8,117,74,COD,Warehouse,Shipped,No,4.3,Mobile,MEGA5,C,Seasonal demand,Yes
ORD70020,2025-01-01,1020,Stylus Pen,Accessories,PackPoint,CUST4171,Repeat,West,Pune,Maharashtra,8,2290,10,143,89,NetBanking,Marketplace,Processing,No,4.6,Desktop,,D,Premium segment,Yes
ORD70021,2025-01-01,1021,Smart Bulb,Home,BrightNest,CUST4180,VIP,West,Nagpur,Maharashtra,3,600,5,47,29,UPI,Warehouse,Delivered,No,3.8,Tablet,NEW10,A,Fast moving item,Yes
ORD70022,2025-01-01,1022,LED Desk Lamp,Home,ClayCraft,CUST4189,New,North,Delhi,Delhi,5,785,8,73,44,Card,Marketplace,Delivered,No,4.0,Mobile,SAVE15,B,Stable demand,Yes
ORD70023,2025-01-01,1023,Ceramic Coffee Mug,Home,HomeGlow,CUST4198,Repeat,North,Jaipur,Rajasthan,7,970,10,144,59,COD,Warehouse,Shipped,No,4.2,Desktop,FEST20,C,Seasonal demand,Yes
ORD70024,2025-01-01,1024,Water Bottle,Home,NordLeaf,CUST4207,VIP,North,Lucknow,Uttar Pradesh,9,1155,12,125,74,NetBanking,Marketplace,Processing,No,4.5,Tablet,MEGA5,D,Premium segment,Yes
ORD70025,2025-01-01,1025,Air Purifier Filter,Home,AuraLite,CUST4216,New,South,Bengaluru,Karnataka,7,1340,15,119,89,UPI,Warehouse,Delivered,No,4.7,Mobile,,A,Fast moving item,Yes
ORD70026,2025-01-01,1026,Wall Clock,Home,BrightNest,CUST4225,Repeat,South,Hyderabad,Telangana,4,1450,18,55,29,Card,Marketplace,Delivered,No,4.4,Desktop,NEW10,B,Stable demand,Yes
ORD70027,2025-01-01,1027,Storage Basket,Home,ClayCraft,CUST4234,VIP,South,Chennai,Tamil Nadu,6,1635,20,126,44,COD,Warehouse,Shipped,No,3.9,Tablet,SAVE15,C,Seasonal demand,Yes
ORD70028,2025-01-01,1028,Table Runner,Home,HomeGlow,CUST4243,New,East,Kolkata,West Bengal,8,1820,5,107,59,NetBanking,Marketplace,Processing,No,4.1,Mobile,FEST20,D,Premium segment,Yes
ORD70029,2025-01-01,1029,Scented Candle,Home,NordLeaf,CUST4252,Repeat,West,Ahmedabad,Gujarat,6,2005,8,101,74,UPI,Warehouse,Delivered,No,4.3,Desktop,MEGA5,A,Fast moving item,Yes
ORD70030,2025-01-01,1030,Bedside Lamp,Home,AuraLite,CUST4261,VIP,West,Surat,Gujarat,8,2190,10,127,89,Card,Marketplace,Delivered,No,4.6,Tablet,,B,Stable demand,Yes
ORD70031,2025-01-01,1031,Running Shoes,Fashion,SprintX,CUST4270,New,West,Vadodara,Gujarat,3,1400,5,51,29,COD,Warehouse,Shipped,No,3.8,Mobile,NEW10,C,Seasonal demand,Yes
ORD70032,2025-01-01,1032,Casual Sneakers,Fashion,ModaCrew,CUST4279,Repeat,West,Rajkot,Gujarat,5,1585,8,77,44,NetBanking,Marketplace,Processing,Yes,4.0,Desktop,SAVE15,D,Premium segment,Yes
ORD70033,2025-01-01,1033,Denim Jacket,Fashion,UrbanBeat,CUST4288,VIP,West,Mumbai,Maharashtra,7,1770,10,71,59,UPI,Warehouse,Delivered,No,4.2,Tablet,FEST20,A,Fast moving item,Yes
