order_id,order_date,product_id,product_name,category,brand,customer_id,customer_segment,region,city,state,quantity_sold,price,discount,stock_available,shipping_fee,payment_method,fulfillment_type,order_status,return_requested,rating,device_type,coupon_code,warehouse_zone,seller_notes,promo_flag
ORD80001,2025-01-01,1001,Wireless Mouse,Electronics,Voltix,CUST4000,New,West,Ahmedabad,Gujarat,3,1800,5,35,29,UPI,Warehouse,Delivered,Yes,3.8,Mobile,NEW10,A,Fast moving item,Yes
ORD80002,2025-01-01,1002,Bluetooth Keyboard,Electronics,SoundMax,CUST4009,Repeat,West,Surat,Gujarat,5,1985,8,61,44,Card,Marketplace,Delivered,No,4.0,Desktop,SAVE15,B,Stable demand,Yes
ORD80003,2025-01-01,1003,Gaming Headset,Electronics,VisionOne,CUST4018,VIP,West,Vadodara,Gujarat,7,2170,10,87,59,COD,Warehouse,Shipped,No,4.2,Tablet,FEST20,C,Seasonal demand,Yes
ORD80004,2025-01-01,1004,USB-C Charger,Electronics,TechAura,CUST4027,New,West,Rajkot,Gujarat,9,2355,12,113,74,NetBanking,Marketplace,Processing,No,4.5,Mobile,MEGA5,D,Premium segment,Yes
ORD80005,2025-01-01,1005,Webcam HD,Electronics,ByteCraft,CUST4036,Repeat,West,Mumbai,Maharashtra,7,2540,15,107,89,UPI,Warehouse,Delivered,No,4.7,Desktop,,A,Fast moving item,Yes
ORD80006,2025-01-01,1006,Power Bank,Electronics,Voltix,CUST4045,VIP,West,Pune,Maharashtra,4,2650,18,43,29,Card,Marketplace,Delivered,No,4.4,Tablet,NEW10,B,Stable demand,Yes
ORD80007,2025-01-01,1007,Smart Watch,Electronics,SoundMax,CUST4054,New,West,Nagpur,Maharashtra,6,2835,20,69,44,COD,Warehouse,Shipped,No,3.9,Mobile,SAVE15,C,Seasonal demand,Yes
ORD80008,2025-01-01,1008,Portable SSD,Electronics,VisionOne,CUST4063,Repeat,North,Delhi,Delhi,8,3020,5,95,59,NetBanking,Marketplace,Processing,No,4.1,Desktop,FEST20,D,Premium segment,Yes
ORD80009,2025-01-01,1009,Noise Cancelling Headphones,Electronics,TechAura,CUST4072,VIP,North,Jaipur,Rajasthan,6,3205,8,77,74,UPI,Warehouse,Delivered,No,4.3,Tablet,MEGA5,A,Fast moving item,Yes
ORD80010,2025-01-01,1010,LED Monitor,Electronics,ByteCraft,CUST4081,New,North,Lucknow,Uttar Pradesh,8,3390,10,115,89,Card,Marketplace,Delivered,No,4.6,Mobile,,B,Stable demand,Yes
ORD80011,2025-01-01,1011,Laptop Sleeve,Accessories,UrbanTrail,CUST4090,Repeat,South,Bengaluru,Karnataka,3,700,5,63,29,COD,Warehouse,Shipped,No,3.8,Desktop,NEW10,C,Seasonal demand,Yes
ORD80012,2025-01-01,1012,Phone Case,Accessories,CarryNest,CUST4099,VIP,South,Hyderabad,Telangana,5,885,8,89,44,NetBanking,Marketplace,Processing,No,4.0,Tablet,SAVE15,D,Premium segment,Yes
ORD80013,2025-01-01,1013,Desk Organizer,Accessories,LoopGear,CUST4108,New,South,Chennai,Tamil Nadu,7,1070,10,83,59,UPI,Warehouse,Delivered,No,4.2,Mobile,FEST20,A,Fast moving item,Yes
ORD80014,2025-01-01,1014,Cable Protector,Accessories,FlexCase,CUST4117,Repeat,East,Kolkata,West Bengal,9,1255,12,109,74,Card,Marketplace,Delivered,No,4.5,Desktop,MEGA5,B,Stable demand,Yes
ORD80015,2025-01-01,1015,Mouse Pad,Accessories,PackPoint,CUST4126,VIP,West,Ahmedabad,Gujarat,7,1440,15,180,89,COD,Warehouse,Shipped,No,4.7,Tablet,,C,Seasonal demand,Yes
ORD80016,2025-01-01,1016,Backpack,Accessories,UrbanTrail,CUST4135,New,West,Surat,Gujarat,4,1550,18,71,29,NetBanking,Marketplace,Processing,No,4.4,Mobile,NEW10,D,Premium segment,Yes
